file_path,line_number,category,matched_text,token_name,fallback_value
src/app/components/BorderFoundationPreview.css,1,b,font-size:11px,,
src/app/components/BorderFoundationPreview.css,1,b,font-size:12px,,
src/app/components/BorderFoundationPreview.css,1,b,font-size:9px,,
src/app/components/BorderFoundationPreview.css,1,b,font-size:11px,,
src/app/components/BorderFoundationPreview.css,1,b,font-size:8px,,
src/app/components/BorderFoundationPreview.css,1,b,letter-spacing:.1em,,
src/app/components/BorderFoundationPreview.css,1,b,font-size:9px,,
src/app/components/BorderFoundationPreview.css,1,b,font-size:12px,,
src/app/components/BorderFoundationPreview.css,1,b,font-size:10px,,
src/app/components/BorderFoundationPreview.css,1,b,line-height:16px,,
src/app/components/BorderFoundationPreview.css,1,b,font-size:11px,,
src/app/components/BorderFoundationPreview.css,1,b,font-weight:700,,
src/app/components/BorderFoundationPreview.css,1,b,letter-spacing:.1em,,
src/app/components/BorderFoundationPreview.css,1,b,font-size:12px,,
src/app/components/BorderFoundationPreview.css,1,b,box-shadow:var(--cvp-border-focus-ring),,
src/app/components/BorderFoundationPreview.css,1,b,"box-shadow:0 0 0 2px var(--bs-focus),0 0 0 4px var(--bs-halo)",,
src/app/components/BorderFoundationPreview.tsx,31,a,--cvp-border-,,
src/app/components/Breadcrumbs.css,1,e,var(--cvp-breadcrumb-padding-y),--cvp-breadcrumb-padding-y,
src/app/components/Breadcrumbs.css,1,e,var(--cvp-breadcrumb-padding-x),--cvp-breadcrumb-padding-x,
src/app/components/Breadcrumbs.css,1,e,var(--cvp-breadcrumb-text),--cvp-breadcrumb-text,
src/app/components/Breadcrumbs.css,1,e,var(--cvp-breadcrumb-bg),--cvp-breadcrumb-bg,
src/app/components/Breadcrumbs.css,1,e,var(--cvp-breadcrumb-border-width),--cvp-breadcrumb-border-width,
src/app/components/Breadcrumbs.css,1,e,var(--cvp-breadcrumb-border),--cvp-breadcrumb-border,
src/app/components/Breadcrumbs.css,1,e,var(--cvp-breadcrumb-font-weight),--cvp-breadcrumb-font-weight,
src/app/components/Breadcrumbs.css,1,e,var(--cvp-breadcrumb-font-size),--cvp-breadcrumb-font-size,
src/app/components/Breadcrumbs.css,1,e,var(--cvp-breadcrumb-line-height),--cvp-breadcrumb-line-height,
src/app/components/Breadcrumbs.css,1,e,var(--cvp-breadcrumb-font-family),--cvp-breadcrumb-font-family,
src/app/components/Breadcrumbs.css,1,e,var(--cvp-breadcrumb-letter-spacing),--cvp-breadcrumb-letter-spacing,
src/app/components/Breadcrumbs.css,2,e,var(--cvp-breadcrumb-gap),--cvp-breadcrumb-gap,
src/app/components/Breadcrumbs.css,4,e,var(--cvp-breadcrumb-item-gap),--cvp-breadcrumb-item-gap,
src/app/components/Breadcrumbs.css,4,e,var(--cvp-breadcrumb-target-height),--cvp-breadcrumb-target-height,
src/app/components/Breadcrumbs.css,4,e,var(--cvp-breadcrumb-action-padding-x),--cvp-breadcrumb-action-padding-x,
src/app/components/Breadcrumbs.css,4,e,var(--cvp-breadcrumb-radius),--cvp-breadcrumb-radius,
src/app/components/Breadcrumbs.css,5,e,var(--cvp-breadcrumb-transition-duration),--cvp-breadcrumb-transition-duration,
src/app/components/Breadcrumbs.css,5,e,var(--cvp-breadcrumb-transition-easing),--cvp-breadcrumb-transition-easing,
src/app/components/Breadcrumbs.css,5,e,var(--cvp-breadcrumb-transition-duration),--cvp-breadcrumb-transition-duration,
src/app/components/Breadcrumbs.css,5,e,var(--cvp-breadcrumb-transition-easing),--cvp-breadcrumb-transition-easing,
